7
7 7
1	24	23	22	21	20	19
2	25	40	39	38	37	18
3	26	41	48	47	36	17
4	27	42	49	46	35	16
5	28	43	44	45	34	15
6	29	30	31	32	33	14
7	8	9	10	11	12	13
3 6
40	90	-42	21	97	31
21	-28	-84	67	-85	-67
-30	-55	-36	-99	35	-22
5 2
11	-81
26	86
71	-23
-68	6
-62	48
2 2
-29	10
84	61
15 15
-73	-75	26	-4	-62	-73	48	-50	23	39	-46	-70	8	-55	-50
46	96	-96	-51	-32	-3	-99	81	50	60	-92	-90	-83	-39	-99
-90	-7	-46	-25	-65	-15	-90	68	91	50	19	100	35	42	-6
57	-23	98	93	-45	88	-7	7	-64	-54	-70	19	-63	64	-32
-3	-58	-77	-57	69	38	-2	78	20	20	-48	1	-84	3	97
65	-100	-97	-59	-66	49	-79	49	-49	-1	-54	55	67	50	71
64	-65	-51	-52	-70	27	91	-94	-84	-29	-96	79	-63	-28	77
18	19	-25	-69	-99	-34	100	-54	-50	-51	77	5	61	-94	-93
41	-93	-48	-90	26	-20	-39	93	-92	86	-62	-54	8	62	70
-13	39	17	25	0	-5	44	88	4	13	-8	-5	-2	71	27
15	86	-54	-97	-88	-53	-77	-1	44	10	-31	73	-45	-74	-24
-21	-47	22	73	57	97	21	-87	77	16	-66	-33	37	-84	-65
-23	-13	96	35	-73	3	25	6	-70	73	67	83	58	31	35
36	74	-38	-24	-19	49	84	10	97	-78	57	-30	64	54	-57
-86	-100	50	-4	34	-56	-37	-9	-40	-90	15	94	-40	79	-53
2 7
5	-2	-51	-11	4	-65	-88
-53	81	86	90	46	1	-87
3 3
-25	26	13
81	91	-53
-48	-95	-26
