10
RED 3 BLUE 7 YELLOW 8 ORANGE 11 PURPLE 2 GREEN 1
GREEN 17 YELLOW 3 RED 9 PURPLE 33 ORANGE 4 BLUE 19
PURPLE 35 GREEN 17 RED 48 YELLOW 14 ORANGE 50 BLUE 5
ORANGE 14 BLUE 36 GREEN 44 RED 29 YELLOW 7 PURPLE 26
YELLOW 17 PURPLE 36 GREEN 43 RED 8 ORANGE 19 BLUE 47
RED 6 BLUE 5 GREEN 4 YELLOW 3 ORANGE 2 PURPLE 1
YELLOW 50 BLUE 11 GREEN 13 ORANGE 62 PURPLE 19 RED 41
GREEN 13 ORANGE 11 PURPLE 7 YELLOW 5 BLUE 3 RED 2
PURPLE 1 YELLOW 3 RED 5 BLUE 2 GREEN 4 ORANGE 6
BLUE 8 GREEN 6 RED 7 ORANGE 5 PURPLE 9 YELLOW 3
